date,price,ma_50,ma_200,regime,ma_cross
2021-05-04,390.3923034667969,375.7333966064453,341.60486068725584,Bull,Golden
2021-05-05,390.5143737792969,376.2878662109375,342.0517059326172,Bull,Golden
2021-05-06,393.63287353515625,376.82475036621094,342.51094024658204,Bull,Golden
2021-05-07,396.4977111816406,377.59569274902344,342.9759097290039,Bull,Golden
2021-05-10,392.571533203125,378.32499938964844,343.43935501098633,Bull,Golden
2021-05-11,389.0679016113281,378.81159057617185,343.89493911743165,Bull,Golden
2021-05-12,380.8020324707031,379.1897888183594,344.2983296203613,Bull,Golden
2021-05-13,385.3764343261719,379.7553436279297,344.7341098022461,Bull,Golden
2021-05-14,391.2940368652344,380.5276324462891,345.1811393737793,Bull,Golden
2021-05-17,390.29833984375,381.15024536132813,345.6285757446289,Bull,Golden
2021-05-18,386.9356689453125,381.74136840820313,346.04731369018555,Bull,Golden
2021-05-19,385.9212036132813,382.2101531982422,346.4504403686523,Bull,Golden
2021-05-20,390.0729064941406,382.7168444824219,346.8684289550781,Bull,Golden
2021-05-21,389.7535705566406,383.14318786621095,347.2753033447266,Bull,Golden
2021-05-24,393.726806640625,383.6390716552734,347.69173751831056,Bull,Golden
2021-05-25,392.8531799316406,384.0734796142578,348.1026887512207,Bull,Golden
2021-05-26,393.63287353515625,384.5328436279297,348.5128958129883,Bull,Golden
2021-05-27,393.8395080566406,384.97106201171874,348.936996307373,Bull,Golden
2021-05-28,394.5440368652344,385.53159912109373,349.3430776977539,Bull,Golden
2021-06-01,394.196533203125,386.09875,349.7502534484863,Bull,Golden
2021-06-02,394.8164367675781,386.6198748779297,350.16048217773437,Bull,Golden
2021-06-03,393.35107421875,387.16974060058595,350.5584164428711,Bull,Golden
2021-06-04,396.9486389160156,387.8287542724609,350.9709489440918,Bull,Golden
2021-06-07,396.5635070800781,388.4391107177734,351.3881025695801,Bull,Golden
2021-06-08,396.6480712890625,388.93318420410156,351.8008041381836,Bull,Golden
2021-06-09,396.0563049316406,389.41917907714844,352.2049749755859,Bull,Golden
2021-06-10,397.8973388671875,389.96171936035154,352.60238052368163,Bull,Golden
2021-06-11,398.5548095703125,390.4873516845703,352.99750244140625,Bull,Golden
2021-06-14,399.4471435546875,390.95042602539064,353.38106842041014,Bull,Golden
2021-06-15,398.7145385742188,391.290830078125,353.757442779541,Bull,Golden
2021-06-16,396.4883117675781,391.5912164306641,354.11223968505857,Bull,Golden
2021-06-17,396.3568115234375,391.8801446533203,354.4722755432129,Bull,Golden
2021-06-18,391.0098571777344,392.0258770751953,354.79030197143555,Bull,Golden
2021-06-21,396.6075134277344,392.22776794433594,355.11263900756836,Bull,Golden
2021-06-22,398.727783203125,392.4692449951172,355.502728729248,Bull,Golden
2021-06-23,398.2472534179688,392.6781939697266,355.9035084533691,Bull,Golden
2021-06-24,400.6031799316406,392.96074951171875,356.35952407836913,Bull,Golden
2021-06-25,402.0262145996094,393.1887316894531,356.79210525512696,Bull,Golden
2021-06-28,402.8367004394531,393.40681091308596,357.2561311340332,Bull,Golden
2021-06-29,403.0533752441406,393.6677355957031,357.72045135498047,Bull,Golden
2021-06-30,403.3926086425781,393.9925537109375,358.1660398864746,Bull,Golden
2021-07-01,405.6260681152344,394.28877502441406,358.6148565673828,Bull,Golden
2021-07-02,408.7264404296875,394.7183917236328,359.0854426574707,Bull,Golden
2021-07-06,407.9819641113281,395.04914428710936,359.56614151000974,Bull,Golden
2021-07-07,409.423828125,395.3923913574219,360.07200057983397,Bull,Golden
2021-07-08,406.0878601074219,395.67060913085936,360.5783334350586,Bull,Golden
2021-07-09,410.4226989746094,396.03777893066405,361.0908184814453,Bull,Golden
2021-07-12,411.892822265625,396.3843798828125,361.64635940551756,Bull,Golden
2021-07-13,410.4886779785156,396.7547479248047,362.1908709716797,Bull,Golden
2021-07-14,411.1012573242188,397.1204583740234,362.71406646728514,Bull,Golden
2021-07-15,409.6970825195313,397.5065539550781,363.204790802002,Bull,Golden
2021-07-16,406.483642578125,397.8259393310547,363.68793121337893,Bull,Golden
2021-07-19,400.4806823730469,397.9628955078125,364.1293103027344,Bull,Golden
2021-07-20,406.2197570800781,398.15733642578124,364.58936309814453,Bull,Golden
2021-07-21,409.5086364746094,398.49607849121094,365.0807765197754,Bull,Golden
2021-07-22,410.3661193847656,398.9220428466797,365.54888290405273,Bull,Golden
2021-07-23,414.5880432128906,399.59776306152344,366.0606129455566,Bull,Golden
2021-07-26,415.6058044433594,400.20235046386716,366.55025573730467,Bull,Golden
2021-07-27,413.711669921875,400.650703125,367.0163508605957,Bull,Golden
2021-07-28,413.5420227050781,401.1155767822266,367.46728775024417,Bull,Golden
2021-07-29,415.2571411132813,401.68200622558595,367.90079025268557,Bull,Golden
2021-07-30,413.240478515625,402.2283917236328,368.3349301147461,Bull,Golden
2021-08-02,412.3734130859375,402.6744018554688,368.77498947143556,Bull,Golden
2021-08-03,415.7283325195313,403.19389709472654,369.2338278198242,Bull,Golden
2021-08-04,413.6833801269531,403.5930285644531,369.68342041015626,Bull,Golden
2021-08-05,416.30316162109375,404.06202819824216,370.17072341918947,Bull,Golden
2021-08-06,416.99114990234375,404.5291937255859,370.65508102416993,Bull,Golden
2021-08-09,416.6518249511719,404.9854400634766,371.1407716369629,Bull,Golden
2021-08-10,417.1700744628906,405.4379608154297,371.6202899169922,Bull,Golden
2021-08-11,418.2067565917969,405.9181652832031,372.09953826904297,Bull,Golden
2021-08-12,419.4601135253906,406.4110388183594,372.6148387145996,Bull,Golden
2021-08-13,420.2234802246094,406.94848693847655,373.1394100952148,Bull,Golden
2021-08-16,421.212890625,407.43377197265625,373.7228131103516,Bull,Golden
2021-08-17,418.4518127441406,407.8715380859375,374.2769352722168,Bull,Golden
2021-08-18,413.8718566894531,408.2160137939453,374.82419250488283,Bull,Golden
2021-08-19,414.51263427734375,408.5851403808594,375.35759307861326,Bull,Golden
2021-08-20,417.81097412109375,408.9834130859375,375.88031005859375,Bull,Golden
2021-08-23,421.4862060546875,409.442041015625,376.38639678955076,Bull,Golden
2021-08-24,422.1552734375,409.8962036132813,376.86459823608396,Bull,Golden
2021-08-25,423.0411376953125,410.38273559570314,377.34760177612304,Bull,Golden
2021-08-26,420.5438232421875,410.8638458251953,377.7976092529297,Bull,Golden
2021-08-27,424.3038940429688,411.42278747558595,378.26884094238284,Bull,Golden
2021-08-30,426.1698303222656,412.12598693847656,378.73714263916014,Bull,Golden
2021-08-31,425.5384521484375,412.7046057128906,379.21841583251955,Bull,Golden
2021-09-01,425.76458740234375,413.245341796875,379.678025970459,Bull,Golden
2021-09-02,427.074462890625,413.82188598632814,380.1233493041992,Bull,Golden
2021-09-03,426.9708251953125,414.34923889160154,380.57724426269533,Bull,Golden
2021-09-07,425.44427490234375,414.8176000976562,381.0437364196777,Bull,Golden
2021-09-08,424.9259338378906,415.259384765625,381.50064529418944,Bull,Golden
2021-09-09,423.1070861816406,415.660458984375,381.9598796081543,Bull,Golden
2021-09-10,419.7710876464844,415.98802856445315,382.39250518798826,Bull,Golden
2021-09-13,420.8454284667969,416.2924157714844,382.803653717041,Bull,Golden
2021-09-14,418.5743103027344,416.4893731689453,383.2060568237305,Bull,Golden
2021-09-15,422.0704650878906,416.7711431884766,383.62123275756835,Bull,Golden
2021-09-16,421.4013366699219,417.010693359375,384.040567779541,Bull,Golden
2021-09-17,417.2965698242188,417.23486755371096,384.42092041015627,Bull,Golden
2021-09-20,410.3385314941406,417.2331842041016,384.76289337158204,Bull,Golden
2021-09-21,409.9508666992188,417.19434509277346,385.10339416503905,Bull,Golden
2021-09-22,413.9497985839844,417.2635675048828,385.4491598510742,Bull,Golden
2021-09-23,418.9792785644531,417.4211279296875,385.8236158752441,Bull,Golden
2021-09-24,419.6694946289063,417.620576171875,386.1964881896973,Bull,Golden
2021-09-27,418.46875,417.8602783203125,386.5788327026367,Bull,Golden
2021-09-28,410.035888671875,418.05138244628904,386.9195724487305,Bull,Golden
2021-09-29,410.72607421875,418.1415087890625,387.26576721191407,Bull,Golden
2021-09-30,405.70599365234375,418.06545593261717,387.59450637817383,Bull,Golden
2021-10-01,410.5274963378906,418.06868347167966,387.92437255859375,Bull,Golden
2021-10-04,405.23333740234375,417.88158935546875,388.2250640869141,Bull,Golden
2021-10-05,409.4497375488281,417.75846801757814,388.5371890258789,Bull,Golden
2021-10-06,411.1514892578125,417.7072644042969,388.86475112915036,Bull,Golden
2021-10-07,414.7061767578125,417.73054748535156,389.2162658691406,Bull,Golden
2021-10-08,413.9497985839844,417.70440063476565,389.5669006347656,Bull,Golden
2021-10-11,410.9529113769531,417.65864929199216,389.9010061645508,Bull,Golden
2021-10-12,409.94140625,417.6100091552734,390.22336013793944,Bull,Golden
2021-10-13,411.4161682128906,417.5237658691406,390.5382487487793,Bull,Golden
2021-10-14,418.3364868164063,417.6168280029297,390.8910621643066,Bull,Golden
2021-10-15,421.5224609375,417.7212139892578,391.2573246765137,Bull,Golden
2021-10-18,422.7703247070313,417.83679748535155,391.6209791564941,Bull,Golden
2021-10-19,426.0320129394531,418.0244012451172,392.0247691345215,Bull,Golden
2021-10-20,427.7052917480469,418.2351055908203,392.4250358581543,Bull,Golden
2021-10-21,428.8208923339844,418.44738830566405,392.8204878234863,Bull,Golden
2021-10-22,428.3765563964844,418.62571716308594,393.1877375793457,Bull,Golden
2021-10-25,430.673828125,418.83472412109376,393.5563626098633,Bull,Golden
2021-10-26,431.0614929199219,419.03169616699216,393.9389566040039,Bull,Golden
2021-10-27,429.1517333984375,419.2456945800781,394.31162765502927,Bull,Golden
2021-10-28,433.2926025390625,419.6341094970703,394.7002278137207,Bull,Golden
2021-10-29,434.1717834472656,420.02729248046876,395.0994499206543,Bull,Golden
2021-11-01,434.9186096191406,420.3694451904297,395.51532592773435,Bull,Golden
2021-11-02,436.6770935058594,420.67326293945314,395.92618515014647,Bull,Golden
2021-11-03,439.3431091308594,421.0170196533203,396.32584518432617,Bull,Golden
2021-11-04,441.4134826660156,421.38446655273435,396.7342184448242,Bull,Golden
2021-11-05,442.9450378417969,421.8324908447266,397.1566159057617,Bull,Golden
2021-11-08,443.32318115234375,422.21287658691404,397.57383544921873,Bull,Golden
2021-11-09,441.85784912109375,422.5266369628906,397.98653732299806,Bull,Golden
2021-11-10,438.3031311035156,422.7819305419922,398.42537475585937,Bull,Golden
2021-11-11,438.4449462890625,423.03553771972656,398.8498481750488,Bull,Golden
2021-11-12,441.7538146972656,423.32912475585937,399.32625549316407,Bull,Golden
2021-11-15,441.905029296875,423.6278088378906,399.7745823669434,Bull,Golden
2021-11-16,443.6541137695313,423.99200561523435,400.2067514038086,Bull,Golden
2021-11-17,442.5763244628906,424.3450134277344,400.6321267700195,Bull,Golden
2021-11-18,444.0795593261719,424.764462890625,401.0447021484375,Bull,Golden
2021-11-19,443.285400390625,425.2347491455078,401.44619140625,Bull,Golden
2021-11-22,442.0374450683594,425.65858947753907,401.8283334350586,Bull,Golden
2021-11-23,442.6235961914063,426.1395751953125,402.21462356567383,Bull,Golden
2021-11-24,443.8053588867188,426.57427307128904,402.60761825561525,Bull,Golden
2021-11-26,433.9070739746094,426.8243878173828,402.948172454834,Bull,Golden
2021-11-29,439.2296752929688,427.2630499267578,403.3063047790527,Bull,Golden
2021-11-30,430.6832885742188,427.66994506835937,403.62329666137697,Bull,Golden
2021-12-01,425.8996276855469,427.9889202880859,403.91594924926756,Bull,Golden
2021-12-02,432.4228515625,428.35838134765623,404.24903549194335,Bull,Golden
2021-12-03,428.6601257324219,428.55199829101565,404.56653823852537,Bull,Golden
2021-12-06,433.7368469238281,428.8333453369141,404.9234680175781,Bull,Golden
2021-12-07,442.7087097167969,429.31814453125,405.3230570983887,Bull,Golden
2021-12-08,443.8808898925781,429.99504455566404,405.70851821899413,Bull,Golden
2021-12-09,440.8840942382813,430.5982049560547,406.1231857299805,Bull,Golden
2021-12-10,445.0343322753906,431.3847717285156,406.56782638549805,Bull,Golden
2021-12-13,441.092041015625,431.9960626220703,406.94959487915037,Bull,Golden
2021-12-14,438.0573425292969,432.65254272460936,407.3304209899902,Bull,Golden
2021-12-15,444.9020690917969,433.36158935546877,407.7694378662109,Bull,Golden
2021-12-16,440.9786376953125,433.95813232421875,408.2109330749512,Bull,Golden
2021-12-17,436.2853088378906,434.3897149658203,408.59652114868163,Bull,Golden
2021-12-20,431.6461181640625,434.7436413574219,408.9678541564941,Bull,Golden
2021-12-21,439.3116760253906,435.3108166503906,409.3520027160645,Bull,Golden
2021-12-22,443.704345703125,435.98607543945315,409.7468327331543,Bull,Golden
2021-12-23,446.465087890625,436.68705383300784,410.1369761657715,Bull,Golden
2021-12-27,452.7834777832031,437.37599365234377,410.55623046875,Bull,Golden
2021-12-28,452.4134826660156,437.9938140869141,410.96263397216796,Bull,Golden
2021-12-29,452.9922180175781,438.598251953125,411.37427169799804,Bull,Golden
2021-12-30,451.7399597167969,439.1124108886719,411.7733285522461,Bull,Golden
2021-12-31,450.6014404296875,439.57033386230466,412.1937498474121,Bull,Golden
2022-01-03,453.21038818359375,440.05812377929686,412.630606842041,Bull,Golden
2022-01-04,453.0585632324219,440.5517639160156,413.05209869384765,Bull,Golden
2022-01-05,444.3588562011719,440.8254644775391,413.44460403442383,Bull,Golden
2022-01-06,443.94146728515625,441.08306396484375,413.8443215942383,Bull,Golden
